date,solar_generation_kwh,consumption_kwh,temperature_c,battery_percent
2026-08-01,11.2,8.4,28,80
2026-08-02,12.8,7.9,30,85
2026-08-03,9.5,8.8,26,68
2026-08-04,13.6,7.5,29,92
2026-08-05,7.8,9.2,33,45
2026-08-06,10.9,8.1,27,74
2026-08-07,14.2,7.2,28,96
2026-08-08,8.4,9.0,34,52
2026-08-09,11.7,8.3,29,79
2026-08-10,13.1,7.7,30,88
2026-08-11,9.9,8.6,25,70
2026-08-12,12.4,7.9,29,83
2026-08-13,7.1,9.5,35,38
2026-08-14,10.5,8.4,27,72
2026-08-15,13.8,7.4,28,94
2026-08-16,9.3,8.9,32,60
2026-08-17,11.9,8.0,29,81
2026-08-18,12.6,7.8,30,86
2026-08-19,8.7,9.1,33,50
2026-08-20,12.4,8.2,29,82
